feature,mean_abs_shap
prior_days_since_last_fall,0.7199276
n_comorbidities,0.22082937
vital_pain_min_30d,0.13820161
age_at_obs,0.11316869
los_days,0.10444469
need_nutrition_active,0.096022926
need_fall_active,0.07129004
dx_dementia,0.060763467
facility_id_enc,0.05007571
is_outpatient,0.04021504
vital_pain_min_7d,0.028912412
vital_temp_min_30d,0.024571825
dx_diabetes_cc,0.02024009
dx_hypertension,0.019630073
charlson_score,0.019567654
vital_bp_sys_std_30d,0.018070832
dx_chf,0.017135777
dx_parkinsons,0.015932964
vital_pain_std_7d,0.014068214
vital_temp_std_30d,0.013066515
vital_bp_sys_max_30d,0.012644377
dx_uti,0.012005434
vital_pain_mean_30d,0.011196518
vital_glucose_max_30d,0.009582255
vital_pain_max_7d,0.009064764
vital_o2_std_7d,0.009013647
vital_pain_std_30d,0.008254491
vital_o2_mean_30d,0.007586097
vital_bp_sys_min_7d,0.0075803716
dx_ckd,0.007486614
dx_pressure_ulcer,0.007060737
vital_pulse_mean_30d,0.0068953703
vital_glucose_mean_30d,0.0068765413
vital_bp_sys_cv_30d,0.006556067
vital_o2_max_30d,0.0063675647
vital_temp_mean_30d,0.0057867407
vital_o2_max_7d,0.0055596465
vital_bp_sys_std_7d,0.005558013
vital_bp_sys_mean_30d,0.005254862
prior_rth_days_since_last,0.00513035
vital_pain_mean_7d,0.004813333
vital_pain_max_30d,0.0047732475
vital_pulse_max_30d,0.004731396
need_wound_active,0.004389279
med_is_refused_sum_30d,0.0043432
dx_afib,0.004256889
dx_malnutrition,0.0042393766
vital_pulse_min_30d,0.0041048946
vital_glucose_std_30d,0.0040339692
dx_depression,0.0039675976
vital_temp_std_7d,0.003906292
dx_obesity,0.0037466162
vital_o2_mean_7d,0.0037111572
vital_glucose_mean_7d,0.003387587
vital_temp_mean_7d,0.0032906996
vital_pulse_std_7d,0.0032069962
vital_weight_min_7d,0.003061142
vital_temp_min_7d,0.0029522425
vital_resp_mean_30d,0.0028402589
med_is_missed_sum_30d,0.002630222
therapy_pt_active,0.0024869486
vital_pulse_std_30d,0.002303304
med_is_late_sum_30d,0.0022311218
prior_fall_n_sum_30d,0.0021754669
vital_resp_min_30d,0.0019975558
med_is_late_mean_7d,0.0019003565
vital_glucose_min_30d,0.0018103047
gg_selfcare_value_std_30d,0.0017645269
dx_pneumonia,0.0016484851
med_is_late_sum_7d,0.0016315151
vital_pulse_min_7d,0.0014989366
dx_pvd,0.0014864212
vital_bp_sys_mean_7d,0.0014792373
adl_locomotion_value_mean_90d,0.0013620355
therapy_ot_active,0.0013562765
vital_glucose_min_7d,0.0013436275
med_is_diuretic_sum_30d,0.0013339566
vital_o2_std_30d,0.0013014523
vital_o2_min_7d,0.0012112363
vital_pulse_max_7d,0.0011607324
vital_temp_max_30d,0.0010491415
vital_bp_sys_min_30d,0.00094831205
vital_glucose_std_7d,0.0008468601
prior_last_fall_had_injury,0.0008032585
vital_pulse_mean_7d,0.00064452825
vital_weight_mean_30d,0.0006349592
vital_weight_std_30d,0.0005964709
vital_resp_max_30d,0.00048239177
vital_resp_max_7d,0.0002939104
dx_stroke,0.0001395234
adl_bed_mobility_value_mean_90d,0.0
adl_bed_mobility_value_std_90d,0.0
adl_bed_mobility_value_mean_7d,0.0
adl_personal_hygiene_value_std_90d,0.0
adl_personal_hygiene_value_mean_90d,0.0
adl_personal_hygiene_value_std_30d,0.0
adl_personal_hygiene_value_mean_30d,0.0
adl_bed_mobility_value_std_30d,0.0
adl_bed_mobility_value_mean_30d,0.0
adl_bed_mobility_value_std_7d,0.0
