feature,mean_abs_shap
n_comorbidities,0.23574306
prior_rth_days_since_last,0.12027506
los_days,0.07346939
dx_hypertension,0.043128554
med_n_unique_drugs_30d,0.037977252
vital_pain_max_30d,0.027941821
vital_pain_mean_30d,0.023685198
age_at_obs,0.01836298
vital_o2_std_7d,0.017682482
need_wound_active,0.0172698
vital_pain_std_30d,0.016049791
vital_o2_min_30d,0.012834831
vital_o2_std_30d,0.0113270795
vital_pain_max_7d,0.010706284
facility_id_enc,0.009039363
vital_glucose_std_30d,0.008132031
vital_pain_mean_7d,0.008027227
vital_pulse_mean_30d,0.0074568638
vital_pulse_max_7d,0.006579672
med_is_refused_sum_30d,0.0063839173
med_is_refused_mean_30d,0.00592558
vital_o2_mean_7d,0.005903247
vital_bp_sys_std_30d,0.0051779784
vital_bp_sys_std_7d,0.004696405
vital_pulse_mean_7d,0.004356022
vital_pulse_max_30d,0.004120573
dx_malnutrition,0.003402337
vital_temp_std_30d,0.0033818786
vital_pulse_min_30d,0.003341418
vital_bp_sys_mean_30d,0.003169258
vital_o2_mean_30d,0.002912178
dx_ckd,0.002758179
vital_o2_min_7d,0.0026076804
med_is_refused_sum_7d,0.002557247
vital_pulse_min_7d,0.002423554
need_nutrition_active,0.0023691389
dx_chf,0.0023564158
med_n_doses_sum_30d,0.002265076
vital_temp_min_30d,0.0021031706
dx_dementia,0.0018291426
prior_days_since_last_fall,0.0017273567
tag_total_highrisk_30d,0.0016830929
vital_pulse_std_30d,0.001572123
vital_bp_sys_cv_30d,0.0015663162
charlson_score,0.0014379341
vital_o2_max_7d,0.0013880711
vital_bp_sys_max_30d,0.0013720832
vital_pulse_std_7d,0.0013510049
vital_glucose_max_30d,0.0013260352
dx_diabetes_cc,0.0011337351
med_is_diuretic_sum_7d,0.0010732797
vital_temp_max_7d,0.0010468843
dx_osteoporosis,0.0010380786
vital_pain_std_7d,0.0008659826
vital_weight_max_30d,0.00084813015
dx_sepsis,0.0007156899
vital_glucose_max_7d,0.00063908496
dx_uti,0.0006011381
prior_last_fall_had_injury,0.0005560276
vital_temp_mean_7d,0.00055101246
dx_mi,0.00051858847
vital_temp_max_30d,0.0005115049
vital_temp_mean_30d,0.00046182075
vital_bp_sys_min_7d,0.00040587824
vital_weight_std_30d,0.00039131774
vital_weight_mean_30d,0.0003879352
vital_bp_sys_mean_7d,0.00029758937
med_is_late_mean_30d,0.00024971805
vital_glucose_mean_30d,0.00024805067
vital_glucose_std_7d,0.0002187514
vital_resp_min_7d,0.00014312603
vital_resp_max_30d,0.00013512385
lab_is_abnormal_sum_30d,0.000105444284
vital_bp_sys_min_30d,6.192784e-05
vital_glucose_mean_7d,2.8681181e-05
adl_transfer_value_mean_90d,0.0
adl_eating_value_mean_90d,0.0
adl_transfer_value_std_30d,0.0
adl_transfer_value_std_90d,0.0
adl_personal_hygiene_value_std_30d,0.0
adl_personal_hygiene_value_mean_30d,0.0
adl_personal_hygiene_value_std_7d,0.0
adl_personal_hygiene_value_mean_7d,0.0
adl_eating_value_std_90d,0.0
adl_transfer_value_mean_30d,0.0
adl_transfer_value_std_7d,0.0
adl_transfer_value_mean_7d,0.0
adl_bed_mobility_value_std_90d,0.0
adl_bed_mobility_value_mean_90d,0.0
adl_bed_mobility_value_std_30d,0.0
adl_bed_mobility_value_mean_30d,0.0
adl_bed_mobility_value_std_7d,0.0
adl_bed_mobility_value_mean_7d,0.0
adl_personal_hygiene_value_std_90d,0.0
adl_personal_hygiene_value_mean_90d,0.0
dx_pvd,0.0
adl_eating_value_std_7d,0.0
adl_eating_value_mean_30d,0.0
adl_eating_value_std_30d,0.0
adl_eating_value_mean_7d,0.0
dx_anemia,0.0
dx_pressure_ulcer,0.0
dx_depression,0.0
dx_anxiety,0.0
dx_cancer,0.0
dx_obesity,0.0
dx_pneumonia,0.0
dx_afib,0.0
dx_liver_severe,0.0
dx_liver_mild,0.0
dx_copd,0.0
dx_diabetes_comp,0.0
dx_parkinsons,0.0
dx_stroke,0.0
is_outpatient,0.0
dx_hemi_paraplegia,0.0
vital_bp_sys_max_7d,0.0
gg_chair_bed_to_chair_transfer_value_mean_7d,0.0
gg_selfcare_value_mean_7d,0.0
gg_selfcare_value_std_7d,0.0
gg_sit_to_stand_value_mean_7d,0.0
gg_sit_to_stand_value_mean_30d,0.0
gg_selfcare_value_mean_30d,0.0
gg_selfcare_value_std_30d,0.0
gg_chair_bed_to_chair_transfer_value_mean_30d,0.0
gg_walk_50_feet_with_two_turns_value_mean_7d,0.0
gg_lying_to_sitting_on_side_of_bed_value_mean_7d,0.0
gg_lying_to_sitting_on_side_of_bed_value_mean_30d,0.0
gg_walk_50_feet_with_two_turns_value_mean_30d,0.0
gg_walk_150_feet_value_mean_7d,0.0
gg_walk_150_feet_value_mean_30d,0.0
adl_walking_value_mean_7d,0.0
adl_walking_value_std_7d,0.0
adl_walking_value_mean_30d,0.0
adl_walking_value_std_30d,0.0
adl_walking_value_mean_90d,0.0
adl_walking_value_std_90d,0.0
adl_total_value_mean_7d,0.0
adl_total_value_std_7d,0.0
adl_total_value_mean_30d,0.0
adl_total_value_std_30d,0.0
adl_total_value_mean_90d,0.0
adl_total_value_std_90d,0.0
adl_trend_7v30,0.0
gg_mobility_value_mean_7d,0.0
gg_mobility_value_std_7d,0.0
gg_mobility_value_mean_30d,0.0
gg_mobility_value_std_30d,0.0
adl_toilet_use_value_mean_90d,0.0
adl_locomotion_value_std_90d,0.0
adl_locomotion_value_mean_90d,0.0
adl_locomotion_value_std_30d,0.0
adl_locomotion_value_mean_30d,0.0
adl_locomotion_value_std_7d,0.0
adl_locomotion_value_mean_7d,0.0
adl_toilet_use_value_std_90d,0.0
adl_toilet_use_value_mean_7d,0.0
adl_toilet_use_value_std_30d,0.0
adl_toilet_use_value_mean_30d,0.0
adl_toilet_use_value_std_7d,0.0
vital_weight_std_7d,0.0
vital_weight_mean_7d,0.0
vital_resp_min_30d,0.0
vital_weight_min_7d,0.0
flag_o2_low,0.0
vital_pain_min_30d,0.0
flag_pain_high,0.0
vital_resp_std_30d,0.0
vital_resp_max_7d,0.0
vital_resp_mean_30d,0.0
vital_resp_mean_7d,0.0
vital_resp_std_7d,0.0
vital_temp_min_7d,0.0
vital_glucose_min_7d,0.0
vital_glucose_min_30d,0.0
vital_temp_std_7d,0.0
vital_weight_min_30d,0.0
vital_pain_min_7d,0.0
vital_weight_max_7d,0.0
vital_o2_max_30d,0.0
