feature,mean_abs_shap
n_comorbidities,0.18844604
facility_id_enc,0.17616953
need_wound_active,0.1036273
dx_malnutrition,0.05897872
age_at_obs,0.057463996
charlson_score,0.056641
prior_days_since_last_fall,0.04381132
dx_ckd,0.04263129
dx_dementia,0.038053747
med_n_unique_drugs_30d,0.035162214
vital_pain_mean_30d,0.029400643
vital_pain_std_30d,0.021775715
los_days,0.021609161
vital_o2_mean_30d,0.021536127
dx_stroke,0.020770857
dx_depression,0.017645204
need_nutrition_active,0.016785998
vital_pain_max_30d,0.014970691
vital_temp_std_7d,0.011927741
need_fall_active,0.011833086
vital_glucose_min_30d,0.011347423
vital_bp_sys_min_30d,0.010626377
vital_bp_sys_cv_30d,0.010619417
vital_pulse_mean_30d,0.009579986
prior_rth_days_since_last,0.009369056
dx_pressure_ulcer,0.0089024855
vital_bp_sys_std_30d,0.008109247
dx_uti,0.0077802353
vital_resp_min_30d,0.0076831174
vital_temp_min_7d,0.007548409
dx_osteoporosis,0.007369836
vital_weight_std_30d,0.0072399653
vital_glucose_mean_30d,0.007146267
vital_resp_max_30d,0.007132089
vital_weight_max_30d,0.0065665706
vital_o2_min_30d,0.006350304
vital_pain_std_7d,0.0062906696
vital_resp_std_30d,0.0062375357
med_is_missed_mean_30d,0.0061544
dx_diabetes_cc,0.005838317
dx_hemi_paraplegia,0.0051881825
vital_bp_sys_min_7d,0.0051455623
vital_resp_mean_7d,0.0051033106
dx_afib,0.0049381275
vital_o2_std_7d,0.004787354
vital_o2_min_7d,0.0040067546
vital_resp_mean_30d,0.0039057191
vital_bp_sys_mean_7d,0.0038240862
dx_chf,0.0037614477
vital_bp_sys_max_7d,0.0037071307
vital_pulse_mean_7d,0.0036552986
med_is_psychotropic_mean_7d,0.0036506038
gg_lying_to_sitting_on_side_of_bed_value_mean_30d,0.0035848317
vital_glucose_max_30d,0.003583003
vital_resp_std_7d,0.0035170356
vital_temp_max_30d,0.0034848684
dx_copd,0.0034501178
is_outpatient,0.0033958599
vital_pulse_std_30d,0.0031562203
vital_temp_mean_7d,0.0031370043
med_is_psychotropic_mean_30d,0.0029381604
vital_bp_sys_mean_30d,0.00292184
vital_pulse_min_30d,0.0029158262
vital_pain_min_7d,0.0028933203
dx_anxiety,0.0028819134
vital_weight_std_7d,0.0027726789
vital_temp_std_30d,0.0027386285
med_is_diuretic_sum_30d,0.002722206
vital_glucose_std_30d,0.0027212794
vital_o2_max_30d,0.0027019372
dx_obesity,0.0025850935
vital_weight_max_7d,0.0024357855
vital_glucose_mean_7d,0.002281136
vital_o2_std_30d,0.0021133428
vital_temp_mean_30d,0.0020102093
prior_last_fall_had_injury,0.001986605
dx_pneumonia,0.0018597501
vital_pain_mean_7d,0.0017316048
vital_glucose_min_7d,0.0017280364
vital_bp_sys_max_30d,0.0015618847
dx_anemia,0.00150179
dx_pvd,0.0014043119
vital_temp_min_30d,0.001323153
vital_pulse_min_7d,0.0009964872
vital_pulse_max_7d,0.00097426027
vital_bp_sys_std_7d,0.000940015
med_is_late_mean_7d,0.0003353056
vital_pulse_std_7d,0.00022476279
adl_bed_mobility_value_mean_90d,0.0
adl_bed_mobility_value_std_30d,0.0
adl_bed_mobility_value_mean_30d,0.0
adl_bed_mobility_value_std_7d,0.0
adl_bed_mobility_value_mean_7d,0.0
adl_personal_hygiene_value_std_90d,0.0
adl_personal_hygiene_value_mean_90d,0.0
adl_personal_hygiene_value_std_30d,0.0
adl_personal_hygiene_value_mean_30d,0.0
adl_personal_hygiene_value_std_7d,0.0
adl_personal_hygiene_value_mean_7d,0.0
adl_eating_value_std_90d,0.0
adl_transfer_value_mean_30d,0.0
adl_transfer_value_std_7d,0.0
adl_transfer_value_mean_7d,0.0
adl_bed_mobility_value_std_90d,0.0
dx_hypertension,0.0
dx_parkinsons,0.0
dx_cancer,0.0
dx_diabetes_comp,0.0
dx_mi,0.0
dx_liver_severe,0.0
dx_liver_mild,0.0
adl_eating_value_mean_7d,0.0
adl_eating_value_std_7d,0.0
adl_eating_value_mean_30d,0.0
adl_eating_value_std_30d,0.0
dx_sepsis,0.0
vital_o2_mean_7d,0.0
vital_pulse_max_30d,0.0
gg_sit_to_stand_value_mean_30d,0.0
gg_selfcare_value_mean_7d,0.0
gg_sit_to_stand_value_mean_7d,0.0
gg_selfcare_value_std_7d,0.0
gg_selfcare_value_mean_30d,0.0
gg_selfcare_value_std_30d,0.0
gg_chair_bed_to_chair_transfer_value_mean_30d,0.0
gg_chair_bed_to_chair_transfer_value_mean_7d,0.0
gg_walk_150_feet_value_mean_30d,0.0
gg_lying_to_sitting_on_side_of_bed_value_mean_7d,0.0
gg_walk_50_feet_with_two_turns_value_mean_30d,0.0
gg_walk_50_feet_with_two_turns_value_mean_7d,0.0
gg_walk_150_feet_value_mean_7d,0.0
adl_walking_value_mean_7d,0.0
adl_walking_value_std_7d,0.0
adl_walking_value_mean_30d,0.0
adl_walking_value_std_30d,0.0
adl_walking_value_mean_90d,0.0
adl_walking_value_std_90d,0.0
adl_total_value_mean_7d,0.0
adl_total_value_std_7d,0.0
adl_total_value_mean_30d,0.0
adl_total_value_std_30d,0.0
adl_total_value_mean_90d,0.0
adl_total_value_std_90d,0.0
adl_trend_7v30,0.0
gg_mobility_value_mean_7d,0.0
gg_mobility_value_std_7d,0.0
gg_mobility_value_mean_30d,0.0
gg_mobility_value_std_30d,0.0
adl_toilet_use_value_mean_90d,0.0
adl_locomotion_value_std_90d,0.0
adl_locomotion_value_mean_90d,0.0
adl_locomotion_value_std_30d,0.0
adl_locomotion_value_mean_30d,0.0
adl_locomotion_value_std_7d,0.0
adl_locomotion_value_mean_7d,0.0
adl_toilet_use_value_std_90d,0.0
adl_toilet_use_value_mean_7d,0.0
adl_toilet_use_value_std_30d,0.0
adl_toilet_use_value_mean_30d,0.0
adl_toilet_use_value_std_7d,0.0
